epoch,val_loss,val_accuracy,val_recall,val_precision,val_miou,val_f1_score,loss,accuracy,recall,precision,miou,f1_score,lr
1,0.7491300702095032,0.6585999131202698,0.6359236836433411,0.8030887246131897,0.2723551094532013,0.6586001515388489,0.7066022642366179,0.7258578538894653,0.4252933859825134,0.741394579410553,0.21718621253967285,0.6882299780845642,9.999999747378752e-05
2,0.8152276873588562,0.6585999131202698,0.7143034338951111,0.811225414276123,0.3205169141292572,0.6586001515388489,0.3991805978747078,0.8428752422332764,0.6840483546257019,0.8054723143577576,0.298416405916214,0.8417590856552124,9.999999747378752e-05
3,0.9886016845703125,0.6585999131202698,0.7475320100784302,0.819053053855896,0.3499816954135895,0.6586001515388489,0.34076299681186095,0.8682888746261597,0.7331303954124451,0.8152019381523132,0.3373848795890808,0.868381142616272,9.999999747378752e-05
4,1.3914469480514526,0.6585999131202698,0.7659735083580017,0.8243759274482727,0.3693244457244873,0.6586001515388489,0.315702534238643,0.8778946995735168,0.7576754689216614,0.8217722177505493,0.3605744242668152,0.8781487941741943,9.999999747378752e-05
5,1.7799311876296997,0.6585999131202698,0.7788218259811401,0.8288580179214478,0.384540855884552,0.6586001515388489,0.296124163137178,0.8885309100151062,0.7728447318077087,0.8266521096229553,0.3773921728134155,0.8885434865951538,9.999999747378752e-05
6,2.401768922805786,0.6585999131202698,0.7885638475418091,0.832736611366272,0.39711493253707886,0.6586001515388489,0.27323411969110933,0.8968909978866577,0.7840698957443237,0.8309528231620789,0.391416996717453,0.8967758417129517,9.999999747378752e-05
7,2.2403464317321777,0.6585999131202698,0.7966933250427246,0.8363856673240662,0.40820106863975525,0.6586001515388489,0.2558701825993402,0.9060865640640259,0.7928516268730164,0.8346611261367798,0.40330031514167786,0.9060894846916199,9.999999747378752e-05
8,1.4463764429092407,0.7185134887695312,0.8047648668289185,0.8412737250328064,0.41997700929641724,0.7225372195243835,0.23394221489537184,0.9177497625350952,0.8005282878875732,0.838340163230896,0.4136832058429718,0.9177358746528625,9.999999747378752e-05
9,0.09474405646324158,0.8401280045509338,0.8137491941452026,0.8482060432434082,0.4336235523223877,0.8408910632133484,0.21572717791366344,0.9243721961975098,0.8088391423225403,0.8441647291183472,0.42611825466156006,0.9244468212127686,9.999999747378752e-05
10,0.10644689202308655,0.8435915112495422,0.8230087757110596,0.8557092547416687,0.44801613688468933,0.8453173041343689,0.1961252166547327,0.9321442246437073,0.8185685873031616,0.8521972894668579,0.44121482968330383,0.932232141494751,9.999999747378752e-05
11,0.09358122199773788,0.842276930809021,0.8310879468917847,0.8621187210083008,0.46088796854019165,0.8425272107124329,0.177528169183504,0.9386268854141235,0.8272651433944702,0.8591302633285522,0.4545608162879944,0.9387755990028381,9.999999747378752e-05
12,0.08469630032777786,0.8608189821243286,0.8384585976600647,0.8678966164588928,0.47292569279670715,0.8611519932746887,0.16322109247392932,0.9434143304824829,0.8349014520645142,0.8651176691055298,0.4670813977718353,0.9435433149337769,9.999999747378752e-05
13,0.098237544298172,0.8487586379051208,0.8450534343719482,0.8729919791221619,0.48353832960128784,0.8488046526908875,0.1515046024378912,0.9485666751861572,0.8419286608695984,0.870654821395874,0.478701114654541,0.9484883546829224,9.999999747378752e-05
14,0.10308901965618134,0.8525429368019104,0.8508687019348145,0.8774025440216064,0.4927649199962616,0.8527257442474365,0.14128658301464223,0.9514622092247009,0.8480706214904785,0.8752686381340027,0.4884059429168701,0.951460599899292,9.999999747378752e-05
15,0.08503598719835281,0.8547722101211548,0.8561330437660217,0.8814617991447449,0.5015261173248291,0.8549996018409729,0.1318959731140125,0.955621600151062,0.8535924553871155,0.8794930577278137,0.4971945583820343,0.9555683732032776,9.999999747378752e-05
16,0.10498621314764023,0.8594058156013489,0.8608734607696533,0.8851307034492493,0.5095422267913818,0.8595886826515198,0.12622678434073706,0.9570329785346985,0.8585844039916992,0.8833706974983215,0.5057953596115112,0.9570485353469849,9.999999747378752e-05
17,0.08270654827356339,0.8516604900360107,0.8651083707809448,0.8883993625640869,0.5166167616844177,0.8519538044929504,0.12072955816984177,0.9586570858955383,0.8630993962287903,0.886850118637085,0.5133020877838135,0.9586503505706787,9.999999747378752e-05
18,0.07974391430616379,0.8433211445808411,0.8688609004020691,0.8913050293922424,0.5231690406799316,0.8434534668922424,0.11437265166924113,0.9610623717308044,0.8670510649681091,0.889913022518158,0.5200010538101196,0.9610553979873657,9.999999747378752e-05
19,0.09356579184532166,0.857180655002594,0.8723811507225037,0.894056499004364,0.5295012593269348,0.8573101758956909,0.1075644852896022,0.963837742805481,0.8706396222114563,0.8926915526390076,0.5263775587081909,0.9638189077377319,9.999999747378752e-05
20,0.10834238678216934,0.8568084836006165,0.8756949305534363,0.8966562151908875,0.535442590713501,0.857124924659729,0.10336786390296997,0.9652178287506104,0.8741059303283691,0.8954084515571594,0.5326884388923645,0.9652295112609863,9.999999747378752e-05
21,0.09341572970151901,0.8599801659584045,0.8787533640861511,0.8990393280982971,0.5408860445022583,0.860233724117279,0.10000287732325486,0.9668086171150208,0.877251148223877,0.8978816866874695,0.5382651686668396,0.9668057560920715,9.999999747378752e-05
22,0.08207180351018906,0.8022129535675049,0.8813404440879822,0.9009987711906433,0.5456216335296631,0.8022412657737732,0.09571389850770307,0.9683379530906677,0.8802347779273987,0.9001874923706055,0.5435087084770203,0.9683424830436707,9.999999747378752e-05
23,0.07905430346727371,0.8567680716514587,0.8837100863456726,0.9028269648551941,0.5500541925430298,0.8574398159980774,0.09149747735323778,0.9697433114051819,0.8824154138565063,0.9017940759658813,0.5476964712142944,0.9697524309158325,9.999999747378752e-05
